Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2016,04,29,3.7
IDCJAC0016,086338,2016,04,30,12.7
IDCJAC0016,086338,2016,05,01,9.0
IDCJAC0016,086338,2016,05,02,12.3
IDCJAC0016,086338,2016,05,03,8.8
IDCJAC0016,086338,2016,05,04,11.8
IDCJAC0016,086338,2016,05,05,12.3
IDCJAC0016,086338,2016,05,06,13.2
IDCJAC0016,086338,2016,05,07,12.6
IDCJAC0016,086338,2016,05,08,3.5
IDCJAC0016,086338,2016,05,09,6.7
IDCJAC0016,086338,2016,05,10,7.6
IDCJAC0016,086338,2016,05,11,6.3
IDCJAC0016,086338,2016,05,12,6.1
IDCJAC0016,086338,2016,05,13,9.9
IDCJAC0016,086338,2016,05,14,12.6
IDCJAC0016,086338,2016,05,15,6.7
IDCJAC0016,086338,2016,05,16,8.9
IDCJAC0016,086338,2016,05,17,5.4
IDCJAC0016,086338,2016,05,18,7.2
IDCJAC0016,086338,2016,05,19,2.2
IDCJAC0016,086338,2016,05,20,8.3
IDCJAC0016,086338,2016,05,21,8.9
IDCJAC0016,086338,2016,05,22,8.5
IDCJAC0016,086338,2016,05,23,7.1
IDCJAC0016,086338,2016,05,24,7.3
IDCJAC0016,086338,2016,05,25,4.9
IDCJAC0016,086338,2016,05,26,3.1
IDCJAC0016,086338,2016,05,27,8.0
IDCJAC0016,086338,2016,05,28,6.2
IDCJAC0016,086338,2016,05,29,6.5
IDCJAC0016,086338,2016,05,30,9.5
IDCJAC0016,086338,2016,05,31,9.5
IDCJAC0016,086338,2016,06,01,8.2
IDCJAC0016,086338,2016,06,02,9.2
IDCJAC0016,086338,2016,06,03,8.5
IDCJAC0016,086338,2016,06,04,3.7
IDCJAC0016,086338,2016,06,05,3.3
IDCJAC0016,086338,2016,06,06,7.1
IDCJAC0016,086338,2016,06,07,4.7
IDCJAC0016,086338,2016,06,08,4.7
IDCJAC0016,086338,2016,06,09,6.0
IDCJAC0016,086338,2016,06,10,6.6
IDCJAC0016,086338,2016,06,11,6.5
IDCJAC0016,086338,2016,06,12,7.3
IDCJAC0016,086338,2016,06,13,9.0
IDCJAC0016,086338,2016,06,14,8.3
IDCJAC0016,086338,2016,06,15,9.2
IDCJAC0016,086338,2016,06,16,5.1
IDCJAC0016,086338,2016,06,17,3.5
IDCJAC0016,086338,2016,06,18,5.3
IDCJAC0016,086338,2016,06,19,7.2
IDCJAC0016,086338,2016,06,20,3.4
IDCJAC0016,086338,2016,06,21,7.0
IDCJAC0016,086338,2016,06,22,6.6
IDCJAC0016,086338,2016,06,23,7.2
IDCJAC0016,086338,2016,06,24,5.8
IDCJAC0016,086338,2016,06,25,8.8
IDCJAC0016,086338,2016,06,26,7.7
IDCJAC0016,086338,2016,06,27,4.7
IDCJAC0016,086338,2016,06,28,7.8
IDCJAC0016,086338,2016,06,29,8.9
IDCJAC0016,086338,2016,06,30,5.6
IDCJAC0016,086338,2016,07,01,7.1
IDCJAC0016,086338,2016,07,02,6.7
IDCJAC0016,086338,2016,07,03,7.8
IDCJAC0016,086338,2016,07,04,3.6
IDCJAC0016,086338,2016,07,05,1.8
IDCJAC0016,086338,2016,07,06,4.6
IDCJAC0016,086338,2016,07,07,4.1
IDCJAC0016,086338,2016,07,08,7.4
IDCJAC0016,086338,2016,07,09,9.5
IDCJAC0016,086338,2016,07,10,3.6
IDCJAC0016,086338,2016,07,11,7.6
IDCJAC0016,086338,2016,07,12,8.1
IDCJAC0016,086338,2016,07,13,9.0
IDCJAC0016,086338,2016,07,14,7.8
IDCJAC0016,086338,2016,07,15,7.2
IDCJAC0016,086338,2016,07,16,10.2
IDCJAC0016,086338,2016,07,17,10.3
IDCJAC0016,086338,2016,07,18,8.8
IDCJAC0016,086338,2016,07,19,5.7
IDCJAC0016,086338,2016,07,20,9.2
IDCJAC0016,086338,2016,07,21,7.4
IDCJAC0016,086338,2016,07,22,5.1
IDCJAC0016,086338,2016,07,23,9.0
IDCJAC0016,086338,2016,07,24,10.3
IDCJAC0016,086338,2016,07,25,7.5
IDCJAC0016,086338,2016,07,26,7.2
IDCJAC0016,086338,2016,07,27,6.9
IDCJAC0016,086338,2016,07,28,6.3
IDCJAC0016,086338,2016,07,29,5.0
IDCJAC0016,086338,2016,07,30,8.5
IDCJAC0016,086338,2016,07,31,11.3
IDCJAC0016,086338,2016,08,01,5.2
IDCJAC0016,086338,2016,08,02,11.2
IDCJAC0016,086338,2016,08,03,8.4
IDCJAC0016,086338,2016,08,04,11.1
IDCJAC0016,086338,2016,08,05,8.7
IDCJAC0016,086338,2016,08,06,7.0
IDCJAC0016,086338,2016,08,07,10.4
IDCJAC0016,086338,2016,08,08,8.0
IDCJAC0016,086338,2016,08,09,7.8
IDCJAC0016,086338,2016,08,10,11.3
IDCJAC0016,086338,2016,08,11,10.3
IDCJAC0016,086338,2016,08,12,11.7
IDCJAC0016,086338,2016,08,13,9.5
IDCJAC0016,086338,2016,08,14,11.6
IDCJAC0016,086338,2016,08,15,13.4
IDCJAC0016,086338,2016,08,16,13.5
IDCJAC0016,086338,2016,08,17,9.6
IDCJAC0016,086338,2016,08,18,13.1
IDCJAC0016,086338,2016,08,19,2.7
IDCJAC0016,086338,2016,08,20,9.7
IDCJAC0016,086338,2016,08,21,7.0
IDCJAC0016,086338,2016,08,22,8.7
IDCJAC0016,086338,2016,08,23,14.2
IDCJAC0016,086338,2016,08,24,14.0
IDCJAC0016,086338,2016,08,25,13.5
IDCJAC0016,086338,2016,08,26,8.8
IDCJAC0016,086338,2016,08,27,11.7
IDCJAC0016,086338,2016,08,28,12.2
IDCJAC0016,086338,2016,08,29,14.2
IDCJAC0016,086338,2016,08,30,5.2
IDCJAC0016,086338,2016,08,31,10.1
IDCJAC0016,086338,2016,09,01,8.8
IDCJAC0016,086338,2016,09,02,9.6
IDCJAC0016,086338,2016,09,03,12.9
IDCJAC0016,086338,2016,09,04,10.0
IDCJAC0016,086338,2016,09,05,11.7
IDCJAC0016,086338,2016,09,06,15.8
IDCJAC0016,086338,2016,09,07,16.7
IDCJAC0016,086338,2016,09,08,16.0
IDCJAC0016,086338,2016,09,09,5.9
IDCJAC0016,086338,2016,09,10,7.9
IDCJAC0016,086338,2016,09,11,11.8
IDCJAC0016,086338,2016,09,12,7.0
IDCJAC0016,086338,2016,09,13,2.8
IDCJAC0016,086338,2016,09,14,13.2
IDCJAC0016,086338,2016,09,15,6.9
IDCJAC0016,086338,2016,09,16,12.5
IDCJAC0016,086338,2016,09,17,18.8
IDCJAC0016,086338,2016,09,18,5.5
IDCJAC0016,086338,2016,09,19,16.2
IDCJAC0016,086338,2016,09,20,18.5
IDCJAC0016,086338,2016,09,21,8.8
IDCJAC0016,086338,2016,09,22,9.9
IDCJAC0016,086338,2016,09,23,16.5
IDCJAC0016,086338,2016,09,24,18.4
IDCJAC0016,086338,2016,09,25,17.1
IDCJAC0016,086338,2016,09,26,13.6
IDCJAC0016,086338,2016,09,27,13.4
IDCJAC0016,086338,2016,09,28,19.6
IDCJAC0016,086338,2016,09,29,16.2
IDCJAC0016,086338,2016,09,30,16.6
IDCJAC0016,086338,2016,10,01,11.9
IDCJAC0016,086338,2016,10,02,18.7
