Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2016,04,07,8.3,1,Y
IDCJAC0011,086338,2016,04,08,11.9,1,Y
IDCJAC0011,086338,2016,04,09,10.4,1,Y
IDCJAC0011,086338,2016,04,10,13.6,1,Y
IDCJAC0011,086338,2016,04,11,14.5,1,Y
IDCJAC0011,086338,2016,04,12,14.0,1,Y
IDCJAC0011,086338,2016,04,13,11.3,1,Y
IDCJAC0011,086338,2016,04,14,11.6,1,Y
IDCJAC0011,086338,2016,04,15,13.4,1,Y
IDCJAC0011,086338,2016,04,16,14.0,1,Y
IDCJAC0011,086338,2016,04,17,13.1,1,Y
IDCJAC0011,086338,2016,04,18,9.8,1,Y
IDCJAC0011,086338,2016,04,19,13.6,1,Y
IDCJAC0011,086338,2016,04,20,15.3,1,Y
IDCJAC0011,086338,2016,04,21,17.1,1,Y
IDCJAC0011,086338,2016,04,22,14.6,1,Y
IDCJAC0011,086338,2016,04,23,12.3,1,Y
IDCJAC0011,086338,2016,04,24,9.1,1,Y
IDCJAC0011,086338,2016,04,25,9.9,1,Y
IDCJAC0011,086338,2016,04,26,11.3,1,Y
IDCJAC0011,086338,2016,04,27,13.0,1,Y
IDCJAC0011,086338,2016,04,28,19.8,1,Y
IDCJAC0011,086338,2016,04,29,16.9,1,Y
IDCJAC0011,086338,2016,04,30,16.4,1,Y
IDCJAC0011,086338,2016,05,01,14.4,1,Y
IDCJAC0011,086338,2016,05,02,9.0,1,Y
IDCJAC0011,086338,2016,05,03,12.3,1,Y
IDCJAC0011,086338,2016,05,04,9.8,1,Y
IDCJAC0011,086338,2016,05,05,12.6,1,Y
IDCJAC0011,086338,2016,05,06,15.9,1,Y
IDCJAC0011,086338,2016,05,07,11.4,1,Y
IDCJAC0011,086338,2016,05,08,15.5,1,Y
IDCJAC0011,086338,2016,05,09,15.4,1,Y
IDCJAC0011,086338,2016,05,10,13.7,1,Y
IDCJAC0011,086338,2016,05,11,12.2,1,Y
IDCJAC0011,086338,2016,05,12,14.1,1,Y
IDCJAC0011,086338,2016,05,13,15.9,1,Y
IDCJAC0011,086338,2016,05,14,14.5,1,Y
IDCJAC0011,086338,2016,05,15,15.0,1,Y
IDCJAC0011,086338,2016,05,16,7.7,1,Y
IDCJAC0011,086338,2016,05,17,11.4,1,Y
IDCJAC0011,086338,2016,05,18,13.0,1,Y
IDCJAC0011,086338,2016,05,19,14.6,1,Y
IDCJAC0011,086338,2016,05,20,11.6,1,Y
IDCJAC0011,086338,2016,05,21,8.1,1,Y
IDCJAC0011,086338,2016,05,22,9.2,1,Y
IDCJAC0011,086338,2016,05,23,12.8,1,Y
IDCJAC0011,086338,2016,05,24,10.7,1,Y
IDCJAC0011,086338,2016,05,25,7.6,1,Y
IDCJAC0011,086338,2016,05,26,10.3,1,Y
IDCJAC0011,086338,2016,05,27,9.2,1,Y
IDCJAC0011,086338,2016,05,28,5.7,1,Y
IDCJAC0011,086338,2016,05,29,8.7,1,Y
IDCJAC0011,086338,2016,05,30,7.2,1,Y
IDCJAC0011,086338,2016,05,31,3.6,1,Y
IDCJAC0011,086338,2016,06,01,4.8,1,N
IDCJAC0011,086338,2016,06,02,4.8,1,N
IDCJAC0011,086338,2016,06,03,6.8,1,N
IDCJAC0011,086338,2016,06,04,9.8,1,N
IDCJAC0011,086338,2016,06,05,10.5,1,N
IDCJAC0011,086338,2016,06,06,8.9,1,N
IDCJAC0011,086338,2016,06,07,10.5,1,N
IDCJAC0011,086338,2016,06,08,9.7,1,N
IDCJAC0011,086338,2016,06,09,10.8,1,N
IDCJAC0011,086338,2016,06,10,10.4,1,N
IDCJAC0011,086338,2016,06,11,9.0,1,N
IDCJAC0011,086338,2016,06,12,5.0,1,N
IDCJAC0011,086338,2016,06,13,3.8,1,N
IDCJAC0011,086338,2016,06,14,8.6,1,N
IDCJAC0011,086338,2016,06,15,6.0,1,N
IDCJAC0011,086338,2016,06,16,7.8,1,N
IDCJAC0011,086338,2016,06,17,9.3,1,N
IDCJAC0011,086338,2016,06,18,10.0,1,N
IDCJAC0011,086338,2016,06,19,7.3,1,N
IDCJAC0011,086338,2016,06,20,9.1,1,N
IDCJAC0011,086338,2016,06,21,10.4,1,N
IDCJAC0011,086338,2016,06,22,11.2,1,N
IDCJAC0011,086338,2016,06,23,10.4,1,N
IDCJAC0011,086338,2016,06,24,6.9,1,N
IDCJAC0011,086338,2016,06,25,5.6,1,N
IDCJAC0011,086338,2016,06,26,3.0,1,N
IDCJAC0011,086338,2016,06,27,4.8,1,N
IDCJAC0011,086338,2016,06,28,5.0,1,N
IDCJAC0011,086338,2016,06,29,8.9,1,N
IDCJAC0011,086338,2016,06,30,10.3,1,N
IDCJAC0011,086338,2016,07,01,7.3,1,Y
IDCJAC0011,086338,2016,07,02,9.9,1,Y
IDCJAC0011,086338,2016,07,03,10.9,1,Y
IDCJAC0011,086338,2016,07,04,10.4,1,Y
IDCJAC0011,086338,2016,07,05,8.2,1,Y
IDCJAC0011,086338,2016,07,06,9.8,1,Y
IDCJAC0011,086338,2016,07,07,10.5,1,Y
IDCJAC0011,086338,2016,07,08,9.7,1,Y
IDCJAC0011,086338,2016,07,09,5.3,1,Y
IDCJAC0011,086338,2016,07,10,6.5,1,Y
IDCJAC0011,086338,2016,07,11,8.3,1,Y
IDCJAC0011,086338,2016,07,12,10.7,1,Y
IDCJAC0011,086338,2016,07,13,4.5,1,Y
IDCJAC0011,086338,2016,07,14,6.6,1,Y
IDCJAC0011,086338,2016,07,15,8.8,1,Y
IDCJAC0011,086338,2016,07,16,7.8,1,Y
IDCJAC0011,086338,2016,07,17,3.1,1,Y
IDCJAC0011,086338,2016,07,18,9.6,1,Y
IDCJAC0011,086338,2016,07,19,12.6,1,Y
IDCJAC0011,086338,2016,07,20,9.8,1,Y
IDCJAC0011,086338,2016,07,21,6.9,1,Y
IDCJAC0011,086338,2016,07,22,9.2,1,Y
IDCJAC0011,086338,2016,07,23,7.5,1,Y
